Barguna,Barisal,13
Barisal,Barisal,13
Bhola,Barisal,13
Jhalokati,Barisal,13
Patuakhali,Barisal,13
Pirojpur,Barisal,13
Bandarban,Chittagong,18
Brahmanbaria,Chittagong,18
Chandpur,Chittagong,17
Chittagong,Chittagong,18
Comilla,Chittagong,16
Coxs Bazar,Chittagong,18
Feni,Chittagong,18
Khagrachhari,Chittagong,18
Lakshmipur,Chittagong,17
Noakhali,Chittagong,17
Rangamati,Chittagong,18
Dhaka,Dhaka,15
Faridpur,Dhaka,12
Gazipur,Dhaka,8
Gopalganj,Dhaka,12
Jamalpur,Dhaka,9
Kishoreganj,Dhaka,9
Madaripur,Dhaka,12
Manikganj,Dhaka,9
Munshiganj,Dhaka,15
Mymensingh,Dhaka,9
Narayanganj,Dhaka,9
Narsingdi,Dhaka,9
Netrakona,Dhaka,9
Rajbari,Dhaka,15
Shariatpur,Dhaka,15
Sherpur,Dhaka,9
Tangail,Dhaka,9
Bagerhat,Khulna,13
Chuadanga,Khulna,11
Jessore,Khulna,11
Jhenaidah,Khulna,11
Khulna,Khulna,13
Kushtia,Khulna,11
Magura,Khulna,11
Meherpur,Khulna,11
Narail,Khulna,11
Satkhira,Khulna,13
Bogra,Rajshahi,3
Joypurhat,Rajshahi,3
Naogaon,Rajshahi,5
Natore,Rajshahi,5
Nawabganj,Rajshahi,3
Pabna,Rajshahi,3
Rajshahi,Rajshahi,3
Sirajganj,Rajshahi,4
Dinajpur,Rangpur,2
Gaibandha,Rangpur,2
Kurigram,Rangpur,2
Lalmonirhat,Rangpur,2
Nilphamari,Rangpur,2
Panchagarh,Rangpur,1
Rangpur,Rangpur,2
Thakurgaon,Rangpur,1
Habiganj,Sylhet,20
Moulvibazar,Sylhet,20
Sunamganj,Sylhet,20
Sylhet,Sylhet,20
